"Date","Price","Open","High","Low","Vol.","Change %"
"10/23/2018","826.18","843.69","843.69","822.26","","-2.31%"
"10/22/2018","845.72","854.38","854.61","844.43","","-0.72%"
"10/19/2018","851.85","858.87","859.64","844.89","","-0.74%"
"10/18/2018","858.24","860.53","862.28","857.17","","0.06%"
"10/17/2018","857.74","857.09","858.52","853.15","","0.51%"
"10/16/2018","853.41","844.51","853.43","840.02","","0.97%"
"10/15/2018","845.19","853.63","855.24","841.80","","-0.89%"
"10/12/2018","852.82","848.02","857.40","848.02","","0.58%"
"10/11/2018","847.91","856.03","856.03","833.11","","-3.29%"
"10/10/2018","876.77","900.53","900.89","871.07","","-2.53%"
"10/09/2018","899.57","906.10","906.49","896.63","","-0.54%"
"10/08/2018","904.42","924.55","924.55","902.35","","-1.82%"
"10/05/2018","921.15","923.14","923.53","916.30","","-0.22%"
"10/04/2018","923.14","931.32","931.32","920.90","","-0.65%"
"10/03/2018","929.14","929.36","932.01","926.48","","0.20%"
"10/02/2018","927.29","928.04","929.73","923.31","","-0.14%"
"10/01/2018","928.60","926.25","929.45","925.26","","0.42%"
"09/28/2018","924.75","918.96","924.75","914.07","","0.68%"
"09/27/2018","918.53","916.32","919.01","913.03","","0.46%"
"09/26/2018","914.34","917.22","919.34","911.13","","-0.28%"
"09/25/2018","916.90","912.01","916.90","909.14","","0.67%"
"09/24/2018","910.83","916.98","918.34","907.16","","-0.54%"
"09/21/2018","915.76","909.80","915.87","906.78","","0.79%"
"09/20/2018","908.56","911.54","913.28","906.31","","-0.12%"
"09/19/2018","909.66","904.62","910.40","904.62","","0.81%"
"09/18/2018","902.32","903.28","903.28","897.23","","0.05%"
"09/17/2018","901.91","901.70","901.91","896.61","","-0.02%"
"09/14/2018","902.07","899.35","902.07","895.54","","0.26%"
"09/13/2018","899.73","896.10","900.93","895.07","","0.50%"
"09/12/2018","895.25","888.00","895.25","887.19","","0.85%"
"09/11/2018","887.68","884.69","888.14","882.01","","0.38%"
"09/10/2018","884.33","883.39","884.88","880.18","","0.12%"
"09/07/2018","883.23","883.49","884.66","879.93","","0.05%"
"09/06/2018","882.80","883.09","884.42","879.87","","-0.18%"
"09/05/2018","884.42","889.98","890.43","883.21","","-0.63%"
"09/04/2018","890.00","891.61","891.69","885.99","","-0.12%"
"09/03/2018","891.05","886.54","891.05","885.59","","0.48%"
"08/31/2018","886.83","880.89","887.05","877.15","","0.69%"
"08/30/2018","880.72","880.90","881.92","876.19","","-0.06%"
"08/29/2018","881.24","884.85","885.59","879.10","","-0.18%"
"08/28/2018","882.85","887.58","887.87","882.71","","-0.47%"
"08/27/2018","887.04","887.47","889.33","885.23","","0.16%"
"08/24/2018","885.60","884.63","886.80","881.68","","-0.09%"
"08/23/2018","886.42","887.02","887.11","881.36","","-0.15%"
"08/22/2018","887.72","891.63","892.05","884.56","","-0.21%"
"08/21/2018","889.61","889.90","891.13","887.04","","0.25%"
"08/20/2018","887.43","887.45","889.68","884.38","","0.23%"
"08/17/2018","885.42","883.62","885.42","879.80","","0.31%"
"08/16/2018","882.72","881.62","883.70","879.12","","0.52%"
"08/15/2018","878.13","881.18","882.09","876.74","","-0.27%"
"08/14/2018","880.53","884.36","886.36","879.27","","-0.34%"
"08/13/2018","883.56","869.32","886.21","869.05","","1.60%"
